country,countryname,year,PopulismScore,LeftPopulismScore,RightPopulismScore
150,Argentina,1989,0.3227113993590657,0.300185836524089,0.2691498919133809
150,Argentina,1995,0.1096404954099695,0.05263468705798283,0.1096404954099695
150,Argentina,1999,0.09609638460533336,0.005041149898380901,0.09609638460533336
150,Argentina,2003,0.3164297765215814,0.2118958954822074,0.3131365987811416
150,Argentina,2007,0.3026871592479301,0.283768976966817,0.2970652344030525
150,Argentina,2009,0.2470493065617958,0.2267034085565292,0.2438563083833049
150,Argentina,2011,0.2216516339929072,0.2114497817952576,0.1505480318210013
150,Argentina,2013,0.2204310741081893,0.2204310741081893,0.1570512687654884
150,Argentina,2015,0.3428535693069252,0.2156760066317459,0.2475205267854864
150,Argentina,2019,0.1930179244588367,0.1485314099744743,0.1766150477212943
63,Australia,2001,0.1563363291423651,0.01562189552770128,0.1563363291423651
63,Australia,2004,0.4185764350126032,0.08200613489091571,0.4185764350126032
63,Australia,2007,0.4636097422018729,0.1421267989074336,0.4636097422018729
63,Australia,2010,0.3513472984089556,0.1958243472360025,0.3317723531854762
63,Australia,2013,0.3164245997198024,0.1181749481990568,0.31249321564282
63,Australia,2016,0.2131252369058468,0.07508003721862173,0.2067478241886886
63,Australia,2019,0.2968866624400173,0.2963595612537461,0.1571252245841683
63,Australia,2022,0.2027921628177984,0.05073907837401622,0.2027921628177984
42,Austria,1999,0.4961206182328573,0.1417483052982323,0.4961206182328573
42,Austria,2002,0.3876105624257142,0.1662133265450649,0.3876105624257142
42,Austria,2006,0.4572347543976191,0.3173238040773882,0.4572347543976191
42,Austria,2008,0.487991346865918,0.2773930355200306,0.4867495920696032
42,Austria,2013,0.4926050992678413,0.3972456324972623,0.4406620665635397
42,Austria,2017,0.5994700592373123,0.3383314213656026,0.4851849471680822
42,Austria,2019,0.5222881258678997,0.366142711960354,0.4451221833861271
21,Belgium,2007,0.295387893506278,0.1935421123487597,0.2661909159351697
21,Belgium,2010,0.3241087483269378,0.2320860515312604,0.2757994314432234
21,Belgium,2014,0.3102341597537857,0.1930993463912635,0.25254670506
21,Belgium,2019,0.4694450382170092,0.3250216734931768,0.3628530314778661
180,Brazil,1989,0.3049142047833148,0.2296593037016235,0.2564717237433258
180,Brazil,1994,0.3076092956307533,0.2595281239626421,0.263275304681732
180,Brazil,1998,0.4110285241762033,0.2181012368900855,0.4110285241762033
180,Brazil,2002,0.3739189877490359,0.2560368140344901,0.3568160109926809
180,Brazil,2006,0.4470184935030697,0.126617517254309,0.4228136074893834
180,Brazil,2010,0.4029980490451923,0.2391083984065553,0.398486093284066
180,Brazil,2014,0.35504008090126993,0.07946972509976916,0.35504008090126993
180,Brazil,2018,0.4459279711304091,0.2298056086298305,0.3462020751742594
180,Brazil,2022,0.410069858808385,0.2199315144835709,0.3263251941838757
80,Bulgaria,2009,0.1286274957307302,0.06142650771627502,0.1286274957307302
80,Bulgaria,2013,0.3219287270160247,0.2556385638516697,0.2517839234371502
80,Bulgaria,2014,0.2469851687309259,0.09875532568454856,0.2412788589420922
80,Bulgaria,2017,0.2927538450278633,0.08745596751791046,0.287118626894
62,Canada,2004,0.4280006502311111,0.121569538872619,0.4280006502311111
62,Canada,2006,0.3550684845930737,0.1653773261916089,0.3425343860457143
62,Canada,2008,0.3928938287768818,0.2710454775214104,0.3838693568452343
62,Canada,2011,0.2764984152062223,0.1054735469169493,0.2764984152062223
62,Canada,2015,0.3470326236647538,0.2077374076420958,0.2906619961481672
62,Canada,2019,0.3696987421442866,0.1110369365171907,0.3590557010076285
62,Canada,2021,0.2874852795296339,0.09240210717771581,0.2874852795296339
155,Chile,1989,0.4787073898144443,0.2229832680332706,0.4089827020444444
155,Chile,1993,0.2852187609277778,0.11254633958650791,0.2279813399111111
155,Chile,1999,0.2169566885666667,0.03384509125699853,0.2169566885666667
155,Chile,2005,0.3655514996638273,0.159239236073956,0.343953465816508
155,Chile,2009,0.2273751116825396,0.1032598536825396,0.2063120997442002
155,Chile,2013,0.1482635778688745,0.1064004004251107,0.1329570423404762
155,Chile,2017,0.2659999721693601,0.1683157780888401,0.1996343903489254
155,Chile,2021,0.4803378868114965,0.2803610592418777,0.3260272715997029
55,Cyprus,2006,0.3753367451421256,0.3277228484937425,0.3195652892680172
55,Cyprus,2011,0.3838783353333143,0.3388796852094261,0.3287358780386985
55,Cyprus,2016,0.5401744544728606,0.3358253539453582,0.4756695997358419
82,Czech Republic,2002,0.07106614259633334,0.0652055529355017,0.07106614259633334
82,Czech Republic,2006,0.2936423386904762,0.07381741942593072,0.2873927403361904
82,Czech Republic,2010,0.418168707094127,0.1474933912514982,0.418168707094127
82,Czech Republic,2013,0.3226976830200826,0.1568297387384089,0.3203865729117144
82,Czech Republic,2017,0.4107097879159628,0.2756836855970066,0.3917048499798254
13,Denmark,1998,0.5319049196573787,0.337828963819821,0.5149958321063248
13,Denmark,2001,0.1118354411860317,0.05984792365411147,0.1118354411860317
13,Denmark,2005,0.4244104153100173,0.3105939896098289,0.3968937017297259
13,Denmark,2007,0.4547080523238637,0.3945435127826027,0.4165951276094506
13,Denmark,2011,0.4176467032648837,0.2672585102567629,0.3726828808811117
13,Denmark,2015,0.5213781589780017,0.3706330732134032,0.488041371193172
13,Denmark,2019,0.3822570236751131,0.2935742689860103,0.3517899239055459
83,Estonia,1999,0.09068849514561904,0.0833648468183514,0.09068849514561904
83,Estonia,2007,0.2574443260534433,0.1431789554009663,0.2574443260534433
83,Estonia,2011,0.2635268469988803,0.08438058233577228,0.2635268469988803
83,Estonia,2015,0.3338522874106302,0.2030410188356402,0.3338522874106302
83,Estonia,2019,0.2964839045057143,0.04633342694243216,0.2964839045057143
14,Finland,2007,0.336101282055197,0.237102556413482,0.3153628160679243
14,Finland,2011,0.4303971010193056,0.2266427940596085,0.3982044427750123
14,Finland,2015,0.4788653843144969,0.164888866295302,0.4720533704944017
14,Finland,2019,0.4411680703534676,0.2349548800484434,0.4115448273678761
31,France,2012,0.4135898071218088,0.2250678746324593,0.3880555827146275
31,France,2017,0.4474105764190743,0.24779684966538781,0.4244457592797327
31,France,2022,0.4423820615106714,0.2523062372151046,0.4377708739517204
41,Germany,1998,0.2431367794935988,0.0624403206254223,0.2209877488303687
41,Germany,2002,0.1337742568394762,0.0490141538444978,0.116649463352
41,Germany,2005,0.242912380992762,0.1065843916980476,0.2066394108689524
41,Germany,2009,0.3602760889893333,0.247627956293,0.2603903263713333
41,Germany,2013,0.3144653358804446,0.2842671018497364,0.2123650463871112
