manifesto_id,party,date,year,partyname,partyabbrev,country,countryname,RF_Score,Sobol_Score,PopulismScore,LeftPopulismScore,RightPopulismScore,Direction,edate,pervote,absseat,totseats,seats_perc,oecdmember,eumember
22210_194605,22210,194605,1946,Communist Party of the Netherlands,CPN,22,Netherlands,0.4053278666666666,0.4743416968253972,0.4398347817460319,0.3792282190143189,0.4398347817460319,Right,1946-05-17T00:00:00Z,10.6,10,100,0.1,0,0
22952_194605,22952,194605,1946,Reformed Political Party,SGP,22,Netherlands,0.6413730841269841,0.6411831636086137,0.6412781238677989,0.6412781238677989,0.5495545666666668,Left,1946-05-17T00:00:00Z,2.138,2,100,0.02,0,0
22210_194807,22210,194807,1948,Communist Party of the Netherlands,CPN,22,Netherlands,0.7684846000000001,0.7561714793650792,0.7623280396825396,0.6281934121794872,0.7623280396825396,Right,1948-07-07T00:00:00Z,7.744,8,100,0.08,0,0
22952_194807,22952,194807,1948,Reformed Political Party,SGP,22,Netherlands,0.5245261238095238,0.5334905174603174,0.5241688587301587,0.5221352835442334,0.5241688587301587,Right,1948-07-07T00:00:00Z,2.371,2,100,0.02,0,0
74710_195405,74710,195405,1954,Republican National Party,CMP,74,Turkey,0.3727579333333333,0.4064096455433457,0.3895837894383395,0.1348218590132089,0.3895837894383395,Right,1954-05-02T00:00:00Z,5.28,5,541,0.009242144177449169,0,0
74712_196110,74712,196110,1961,National Action Party,MHP,74,Turkey,0.3043270666666666,0.3461476476190476,0.3252373571428571,0.1139115682539682,0.3252373571428571,Right,1961-10-15T00:00:00Z,13.961,54,450,0.12,10,0
74712_196510,74712,196510,1965,National Action Party,MHP,74,Turkey,0.5005946,0.5337620920634925,0.5171783460317463,0.06074562619047617,0.5171783460317463,Right,1965-10-10T00:00:00Z,2.242,11,450,0.02444444444444445,10,0
74712_196910,74712,196910,1969,National Action Party,MHP,74,Turkey,0.8028696000000001,0.7793376888888883,0.7911036444444441,0.1360248143856143,0.7911036444444441,Right,1969-10-12T00:00:00Z,3.028,1,450,0.002222222222222222,10,0
22528_198105,22528,198105,1981,Reformatory Political Federation,RPF,22,Netherlands,0.7058596666666667,0.6661272666666667,0.6859934666666667,0.1758463867965368,0.6859934666666667,Right,1981-05-26T00:00:00Z,1.247,2,150,0.01333333333333333,10,10
171601_198207,171601,198207,1982,Alliance for Change,NA,171,Mexico,0.6225114,0.6039426603174602,0.6132270301587301,0.1934030908591409,0.6132270301587301,Right,1982-07-04T00:00:00Z,17.967,51,400,0.1275,0,0
22210_198209,22210,198209,1982,Communist Party of the Netherlands,CPN,22,Netherlands,0.681726046031746,0.6919942792651796,0.6868601626484628,0.6868601626484628,0.5689264968253969,Left,1982-09-08T00:00:00Z,1.794,3,150,0.02,10,10
22527_198209,22527,198209,1982,Reformed Political League,GPV,22,Netherlands,0.7399208666666667,0.6936619333333329,0.7167913999999997,0.1600048285714285,0.7167913999999997,Right,1982-09-08T00:00:00Z,0.815,1,150,0.006666666666666667,10,10
22528_198209,22528,198209,1982,Reformatory Political Federation,RPF,22,Netherlands,0.716939,0.673889333333333,0.6954141666666664,0.1756630534632035,0.6954141666666664,Right,1982-09-08T00:00:00Z,1.508,2,150,0.01333333333333333,10,10
22710_198209,22710,198209,1982,Centre Party,NA,22,Netherlands,0.4184215333333333,0.4065121333333335,0.4124668333333334,0.1772762412698413,0.4124668333333334,Right,1982-09-08T00:00:00Z,0.831,1,150,0.006666666666666667,10,10
